SI.NO.,ACCESS NO.,TITLE OF THE BOOK,,AUTHORS,PUBLICATION,,COST,
203,CS204,Operations Research,,"Prem Kumar Gupta, D.S. Hira",S. Chand,,-,
204,CS205,Operations Research,,"Prem Kumar Gupta, D.S. Hira",S. Chand,,-,
205,CS206,Operating Systems,,H.M. Deitel,Addison wesley,,-,
206,CS207,Operations Research,,"Prem Kumar Gupta, D.S. Hira",S. Chand,,-,
207,CS208,Advanced Electronic Communications Systems,,Wayne Tomasi,PHI  Learning,,350,
208,CS209,Operating Systems,,"Gary Nutt, Nabendu Chaki,Sarmisyha Neogy",Pearson,,-,
209,CS210,Operating System Concepts,,"Silbershat, Galvin",Addison Wesley,,-,
210,CS211,Engineering Mathematics,,A.Singaravelu,Meenakshi Publications,,120,
211,CS212,Computer Practice- I,,"T. Jeyapoovan, Sanjay Saxena",Vikas,,-,
212,CS213,A Textbook of Electrical Technology Vol - I,,"B. L. Thereja,A. K. Thereja",S. Chand,,-,
213,CS214,Programming in C#,,E. Balagurusamy,Tata McGraw Hill,,-,
214,CS215,IBM PC AND CLONES,,B.Govindarajalu,Tata McGraw-Hill Publications,,-,
215,CS216,The Essential Guide to User Interface Design,,Wilbert O. Galitz,Wiley India,,-,
216,CS217,Industrial Robotics,,"Mikell P.Groover,Mitchell
Weiss,Roger N.Nagel,Nicholas G.Odrey",McGraw-Hill International Editions,,-,
217,CS218,Programming with Structured COBOL,,P S Grover,Macmillan Series,,-,
218,CS219,Programming with Structured COBOL,,P S Grover,Macmillan Series,,-,
219,CS220,Programming with Structured COBOL,,P S Grover,Macmillan Series,,-,
220,CS221,Programming with Structured COBOL,,P S Grover,Macmillan Series,,-,
221,CS222,Programming with Structured COBOL,,P S Grover,Macmillan Series,,-,
222,CS223,Digital Instrumentation,,A.J.Bouwens,Tata McGraw-Hill Publications,,-,
223,CS224,Principles Of Information Security,,"Michael E. Whitman, Herbert J. Mattord",Cenage Learning,,-,
224,CS225,Programming With Fortran 77,,Ram Kumar,Tata McGraw-Hill Publications,,-,
225,CS226,Numerical Methods,,J.S. Chitode,Technical,,-,
226,CS227,System Software,,"Leland L.Beck,D.Manjula",Pearson Education,,-,
227,CS228,Digital Instrumentation,,A.J.Bouwens,Tata McGraw-Hill Publications,,-,
228,CS229,Digital Signal Processing,,"John G Proakis,Dimitris G.Manolakis",Pearson Education,,229,
229,CS230,Grid Computing,,"Joshy Joseph,Craig Fellenstein",Pearson Education,,-,
230,CS232,Advanced Electronic Communications Systems,,Wayne Tomasi,PHI  Learning,,350,
